system:time_start,B1,B1_interpolate
2009-01-08,0.5638888888888889,0.5638888888888889
2009-01-09,,0.4706833333333333
2009-01-10,0.3774777777777777,0.3774777777777777
2009-01-11,,0.46247592592592585
2009-01-12,,0.4583722222222222
2009-01-13,0.5392666666666667,0.5392666666666667
2009-01-14,,0.5115944444444445
2009-01-15,,0.5115944444444445
2009-01-16,,0.5371444444444444
2009-01-17,,0.5643912698412699
2009-01-18,0.5371444444444444,0.5371444444444444
2009-01-19,0.4881555555555555,0.4881555555555555
2009-01-20,0.6796,0.6796
2009-01-21,,0.6578333333333333
2009-01-22,0.6360666666666667,0.6360666666666667
2009-01-23,0.5475666666666666,0.5475666666666666
2009-01-24,0.4204222222222222,0.4204222222222222
2009-01-25,,0.516562962962963
2009-01-26,,0.5642111111111111
2009-01-27,0.5817,0.5817
2009-01-28,0.5642111111111111,0.5642111111111111
2009-01-29,0.6393888888888889,0.6393888888888889
2009-01-30,,0.5642111111111111
2009-01-31,,0.5696296296296296
2009-02-01,0.4380666666666666,0.4380666666666666
2009-02-02,0.6314333333333333,0.6314333333333333
2009-02-03,,0.5642111111111111
2009-02-04,,0.5583653439153439
2009-02-05,,0.5558
2009-02-06,,0.5936166666666667
2009-02-07,,0.5784777777777778
2009-02-08,,0.5825712433862433
2009-02-09,0.5558,0.5558
2009-02-10,,0.5671388888888889
2009-02-11,,0.5784777777777778
2009-02-12,,0.5784777777777778
2009-02-13,,0.6011555555555556
2009-02-14,,0.6095405555555555
2009-02-15,0.6011555555555556,0.6011555555555556
2009-02-16,0.6417888888888889,0.6417888888888889
2009-02-17,0.6377555555555555,0.6377555555555555
2009-02-18,0.6918666666666666,0.6918666666666666
2009-02-19,,0.6417888888888889
2009-02-20,,0.6545888888888888
2009-02-21,,0.6630055555555555
2009-02-22,,0.6674595679012345
2009-02-23,0.6341444444444444,0.6341444444444444
2009-02-24,,0.6718114197530864
2009-02-25,,0.6760611111111111
2009-02-26,,0.6850907407407408
2009-02-27,,0.6883222222222222
2009-02-28,0.7179777777777778,0.7179777777777778
2009-03-01,,0.7031499999999999
2009-03-02,0.6883222222222222,0.6883222222222222
2009-03-03,,0.6883222222222222
2009-03-04,,0.6935962962962963
2009-03-05,0.6668888888888889,0.6668888888888889
2009-03-06,0.7255777777777778,0.7255777777777778
2009-03-07,0.6527666666666667,0.6527666666666667
2009-03-08,,0.6743722222222223
2009-03-09,0.6959777777777778,0.6959777777777778
2009-03-10,,0.6910888888888889
2009-03-11,0.6862,0.6862
2009-03-12,,0.6878018518518518
2009-03-13,,0.6910888888888889
2009-03-14,,0.6746740740740741
2009-03-15,,0.6746740740740741
2009-03-16,0.7012111111111111,0.7012111111111111
2009-03-17,0.6366111111111111,0.6366111111111111
2009-03-18,,0.6522388888888889
2009-03-19,0.6678666666666667,0.6678666666666667
2009-03-20,0.6526333333333333,0.6526333333333333
2009-03-21,0.6780333333333334,0.6780333333333334
2009-03-22,,0.7018722222222222
2009-03-23,0.7257111111111111,0.7257111111111111
2009-03-24,0.6550333333333334,0.6550333333333334
2009-03-25,,0.5939388888888889
2009-03-26,0.5328444444444445,0.5328444444444445
2009-03-27,,0.6197
2009-03-28,,0.6197
2009-03-29,,0.6802814814814816
2009-03-30,0.7065555555555556,0.7065555555555556
2009-03-31,,0.6892666666666667
2009-04-01,,0.6802814814814816
2009-04-02,0.6719777777777778,0.6719777777777778
2009-04-03,0.6623111111111111,0.6623111111111111
2009-04-04,0.6520333333333334,0.6520333333333334
2009-04-05,0.6650111111111111,0.6650111111111111
2009-04-06,0.7027111111111111,0.7027111111111111
2009-04-07,,0.6885798941798942
2009-04-08,,0.7027111111111111
2009-04-09,,0.7168814814814816
2009-04-10,,0.7184
2009-04-11,0.7184,0.7184
2009-04-12,0.7295333333333334,0.7295333333333334
2009-04-13,,0.7302
2009-04-14,,0.7361
2009-04-15,0.7426666666666667,0.7426666666666667
2009-04-16,,0.7302
2009-04-17,,0.6859166666666667
2009-04-18,,0.6859166666666667
2009-04-19,0.6291666666666667,0.6291666666666667
2009-04-20,0.7121444444444445,0.7121444444444445
2009-04-21,0.6614222222222222,0.6614222222222222
2009-04-22,,0.6704155555555555
2009-04-23,,0.6704155555555555
2009-04-24,,0.6702555555555556
2009-04-25,,0.6644522222222222
2009-04-26,,0.6702555555555556
2009-04-27,0.6790888888888889,0.6790888888888889
2009-04-28,,0.6635277777777777
2009-04-29,0.6479666666666667,0.6479666666666667
2009-04-30,0.7073,0.7073
2009-05-01,,0.6766074074074074
2009-05-02,,0.6745555555555556
2009-05-03,0.6745555555555556,0.6745555555555556
2009-05-04,0.5946,0.5946
2009-05-05,,0.6524728806584361
2009-05-06,,0.6677222222222222
2009-05-07,,0.6485188888888889
2009-05-08,,0.6311611111111111
2009-05-09,,0.6169907407407407
2009-05-10,,0.5972
2009-05-11,,0.6077392533803645
2009-05-12,0.6677222222222222,0.6677222222222222
2009-05-13,0.5972,0.5972
2009-05-14,,0.5942703703703703
2009-05-15,,0.5942703703703703
2009-05-16,,0.5674888888888889
2009-05-17,,0.5520306878306879
2009-05-18,0.5178888888888888,0.5178888888888888
2009-05-19,0.5674888888888889,0.5674888888888889
2009-05-20,0.4953777777777778,0.4953777777777778
2009-05-21,0.5245,0.5245
2009-05-22,0.5262,0.5262
2009-05-23,,0.5074095238095239
2009-05-24,,0.5245
2009-05-25,,0.48480000000000006
2009-05-26,,0.4992
2009-05-27,0.429,0.429
2009-05-28,0.4992,0.4992
2009-05-29,,
2009-05-30,,
2009-05-31,,
2009-06-01,,
2009-06-02,,
2009-06-03,,
2009-06-04,,
2009-06-05,,
2009-06-06,,
2009-06-07,,
2009-06-08,,
2009-06-09,,
2009-06-10,,
2009-06-11,,
2009-06-12,,
2009-06-13,,
2009-06-14,,
2009-06-15,,
2009-06-16,,
2009-06-17,,
2009-06-18,,
2009-06-19,,
2009-06-20,,
2009-06-21,,
2009-06-22,,
2009-06-23,,
2009-06-24,,
2009-06-25,0.0777444444444444,0.0777444444444444
2009-06-26,,0.06856481481481477
2009-06-27,,0.06827222222222219
2009-06-28,,0.06856481481481477
2009-06-29,,0.06827222222222219
2009-06-30,,0.06827222222222219
2009-07-01,,0.059677777777777746
2009-07-02,,0.062331746031745995
2009-07-03,,0.0605555555555555
2009-07-04,,0.05932485869733464
2009-07-05,,0.059677777777777746
2009-07-06,0.0588,0.0588
2009-07-07,,0.059677777777777746
2009-07-08,0.0605555555555555,0.0605555555555555
2009-07-09,,0.0515944444444444
2009-07-10,0.0426333333333333,0.0426333333333333
2009-07-11,,0.0515944444444444
2009-07-12,,0.050684009626197304
2009-07-13,0.0587346859190613,0.0587346859190613
2009-07-14,,0.04926397512982345
2009-07-15,,0.050684009626197304
2009-07-16,,0.04975067629286395
2009-07-17,,0.050684009626197304
2009-07-18,0.0407666666666666,0.0407666666666666
2009-07-19,,0.050684009626197304
2009-07-20,,0.06920850240654929
2009-07-21,,0.0756944444444444
2009-07-22,,0.06037888888888886
2009-07-23,,0.06037888888888886
2009-07-24,0.1106222222222222,0.1106222222222222
2009-07-25,0.0321111111111111,0.0321111111111111
2009-07-26,0.0427,0.0427
2009-07-27,0.0362,0.0362
2009-07-28,0.0835,0.0835
2009-07-29,0.1088812301556269,0.1088812301556269
2009-07-30,,0.06258036507853751
2009-07-31,,0.0751795039667023
2009-08-01,,0.0751795039667023
2009-08-02,,0.0751795039667023
2009-08-03,,0.05539501984075257
2009-08-04,0.0414777777777777,0.0414777777777777
2009-08-05,,0.05539501984075257
2009-08-06,,0.0495277777777777
2009-08-07,,0.0495277777777777
2009-08-08,,0.05324164735757635
2009-08-09,,0.05274761588134831
